, Id, Score, 
, drone_0, 252, 
, Total Turns , 331, 

, Id, Score, 
, drone_0, 252, 
, Total Turns , 336, 

, Id, Score, 
, drone_0, 252, 
, Total Turns , 337, 

, Id, Score, 
, drone_1, 125, 
, drone_0, 127, 
, Total Turns , 171, 

, Id, Score, 
, drone_1, 127, 
, drone_0, 125, 
, Total Turns , 171, 

, Id, Score, 
, drone_0, 124, 
, drone_1, 128, 
, Total Turns , 176, 

, Id, Score, 
, drone_1, 83, 
, drone_2, 85, 
, drone_0, 84, 
, Total Turns , 111, 

, Id, Score, 
, drone_0, 87, 
, drone_2, 82, 
, drone_1, 83, 
, Total Turns , 115, 

, Id, Score, 
, drone_1, 86, 
, drone_0, 84, 
, drone_2, 82, 
, Total Turns , 111, 

, Id, Score, 
, drone_3, 63, 
, drone_1, 64, 
, drone_2, 62, 
, drone_0, 63, 
, Total Turns , 81, 

, Id, Score, 
, drone_0, 65, 
, drone_2, 64, 
, drone_3, 65, 
, drone_1, 58, 
, Total Turns , 86, 

, Id, Score, 
, drone_1, 64, 
, drone_3, 62, 
, drone_0, 63, 
, drone_2, 63, 
, Total Turns , 81, 

, Id, Score, 
, drone_1, 52, 
, drone_2, 51, 
, drone_4, 49, 
, drone_0, 50, 
, drone_3, 50, 
, Total Turns , 66, 

, Id, Score, 
, drone_4, 52, 
, drone_2, 51, 
, drone_1, 51, 
, drone_3, 50, 
, drone_0, 48, 
, Total Turns , 66, 

, Id, Score, 
, drone_0, 51, 
, drone_2, 51, 
, drone_4, 49, 
, drone_1, 51, 
, drone_3, 50, 
, Total Turns , 65, 

, Id, Score, 
, quadruped_0, 252, 
, Total Turns , 292, 

, Id, Score, 
, quadruped_0, 252, 
, Total Turns , 290, 

, Id, Score, 
, quadruped_0, 252, 
, Total Turns , 290, 

, Id, Score, 
, quadruped_0, 128, 
, quadruped_1, 124, 
, Total Turns , 162, 

, Id, Score, 
, quadruped_0, 127, 
, quadruped_1, 125, 
, Total Turns , 132, 

, Id, Score, 
, quadruped_1, 137, 
, quadruped_0, 115, 
, Total Turns , 162, 

, Id, Score, 
, quadruped_1, 86, 
, quadruped_0, 83, 
, quadruped_2, 83, 
, Total Turns , 91, 

, Id, Score, 
, quadruped_1, 89, 
, quadruped_0, 84, 
, quadruped_2, 79, 
, Total Turns , 92, 

, Id, Score, 
, quadruped_0, 86, 
, quadruped_2, 78, 
, quadruped_1, 88, 
, Total Turns , 93, 

, Id, Score, 
, quadruped_0, 65, 
, quadruped_3, 64, 
, quadruped_2, 62, 
, quadruped_1, 61, 
, Total Turns , 59, 

, Id, Score, 
, quadruped_2, 63, 
, quadruped_1, 64, 
, quadruped_0, 62, 
, quadruped_3, 63, 
, Total Turns , 59, 

, Id, Score, 
, quadruped_3, 65, 
, quadruped_0, 61, 
, quadruped_1, 64, 
, quadruped_2, 62, 
, Total Turns , 59, 

, Id, Score, 
, quadruped_2, 53, 
, quadruped_1, 52, 
, quadruped_0, 51, 
, quadruped_4, 47, 
, quadruped_3, 49, 
, Total Turns , 56, 

, Id, Score, 
, quadruped_3, 50, 
, quadruped_1, 50, 
, quadruped_2, 53, 
, quadruped_4, 51, 
, quadruped_0, 48, 
, Total Turns , 55, 

, Id, Score, 
, quadruped_2, 54, 
, quadruped_3, 53, 
, quadruped_1, 54, 
, quadruped_4, 47, 
, quadruped_0, 44, 
, Total Turns , 57, 

, Id, Score, 
, gantry_0, 252, 
, Total Turns , 261, 

, Id, Score, 
, gantry_0, 252, 
, Total Turns , 261, 

, Id, Score, 
, gantry_0, 252, 
, Total Turns , 261, 

, Id, Score, 
, gantry_1, 164, 
, gantry_0, 88, 
, Total Turns , 150, 

, Id, Score, 
, gantry_1, 129, 
, gantry_0, 123, 
, Total Turns , 130, 

, Id, Score, 
, gantry_0, 167, 
, gantry_1, 85, 
, Total Turns , 140, 

, Id, Score, 
, gantry_0, 115, 
, gantry_1, 102, 
, gantry_2, 35, 
, Total Turns , 100, 

, Id, Score, 
, gantry_0, 90, 
, gantry_1, 85, 
, gantry_2, 77, 
, Total Turns , 90, 

, Id, Score, 
, gantry_1, 98, 
, gantry_0, 53, 
, gantry_2, 101, 
, Total Turns , 91, 

, Id, Score, 
, gantry_1, 70, 
, gantry_3, 65, 
, gantry_0, 57, 
, gantry_2, 60, 
, Total Turns , 70, 

, Id, Score, 
, gantry_1, 84, 
, gantry_0, 34, 
, gantry_2, 70, 
, gantry_3, 64, 
, Total Turns , 70, 

, Id, Score, 
, gantry_3, 85, 
, gantry_2, 67, 
, gantry_0, 36, 
, gantry_1, 64, 
, Total Turns , 70, 

, Id, Score, 
, gantry_2, 78, 
, gantry_0, 60, 
, gantry_1, 48, 
, gantry_3, 50, 
, gantry_4, 16, 
, Total Turns , 70, 

, Id, Score, 
, gantry_0, 67, 
, gantry_4, 43, 
, gantry_1, 60, 
, gantry_3, 50, 
, gantry_2, 32, 
, Total Turns , 50, 

, Id, Score, 
, gantry_3, 57, 
, gantry_1, 50, 
, gantry_4, 39, 
, gantry_2, 58, 
, gantry_0, 48, 
, Total Turns , 50, 

, Id, Score, 
, quadruped_0, 157, 
, drone_0, 95, 
, Total Turns , 166, 

, Id, Score, 
, drone_0, 89, 
, quadruped_0, 163, 
, Total Turns , 168, 

, Id, Score, 
, quadruped_0, 159, 
, drone_0, 93, 
, Total Turns , 165, 

, Id, Score, 
, drone_0, 53, 
, quadruped_1, 79, 
, quadruped_0, 72, 
, drone_1, 48, 
, Total Turns , 77, 

, Id, Score, 
, drone_1, 49, 
, quadruped_1, 76, 
, quadruped_0, 76, 
, drone_0, 51, 
, Total Turns , 74, 

, Id, Score, 
, quadruped_0, 78, 
, quadruped_1, 77, 
, drone_0, 48, 
, drone_1, 49, 
, Total Turns , 91, 

, Id, Score, 
, drone_2, 34, 
, quadruped_2, 52, 
, quadruped_1, 49, 
, drone_0, 32, 
, quadruped_0, 52, 
, drone_1, 33, 
, Total Turns , 54, 

, Id, Score, 
, quadruped_1, 52, 
, drone_0, 33, 
, quadruped_0, 52, 
, drone_1, 33, 
, drone_2, 32, 
, quadruped_2, 50, 
, Total Turns , 55, 

, Id, Score, 
, quadruped_0, 51, 
, drone_2, 33, 
, drone_1, 33, 
, drone_0, 34, 
, quadruped_1, 51, 
, quadruped_2, 50, 
, Total Turns , 54, 

, Id, Score, 
, drone_1, 27, 
, quadruped_3, 36, 
, quadruped_1, 38, 
, quadruped_2, 38, 
, drone_0, 27, 
, quadruped_0, 36, 
, drone_3, 24, 
, drone_2, 26, 
, Total Turns , 36, 

, Id, Score, 
, drone_1, 28, 
, drone_2, 25, 
, quadruped_0, 37, 
, quadruped_2, 36, 
, drone_3, 26, 
, drone_0, 27, 
, quadruped_3, 38, 
, quadruped_1, 35, 
, Total Turns , 37, 

, Id, Score, 
, quadruped_0, 38, 
, drone_1, 32, 
, drone_3, 21, 
, quadruped_3, 34, 
, drone_0, 27, 
, quadruped_2, 37, 
, drone_2, 26, 
, quadruped_1, 37, 
, Total Turns , 37, 

, Id, Score, 
, quadruped_0, 36, 
, quadruped_3, 31, 
, drone_0, 19, 
, drone_4, 20, 
, quadruped_1, 30, 
, drone_1, 20, 
, quadruped_2, 30, 
, drone_3, 20, 
, drone_2, 19, 
, quadruped_4, 27, 
, Total Turns , 37, 

, Id, Score, 
, quadruped_3, 34, 
, drone_2, 20, 
, drone_4, 20, 
, quadruped_1, 32, 
, quadruped_2, 32, 
, quadruped_4, 28, 
, drone_0, 18, 
, drone_1, 19, 
, drone_3, 19, 
, quadruped_0, 30, 
, Total Turns , 36, 

, Id, Score, 
, quadruped_3, 32, 
, quadruped_4, 32, 
, quadruped_2, 31, 
, drone_2, 19, 
, quadruped_1, 31, 
, quadruped_0, 32, 
, drone_3, 18, 
, drone_0, 18, 
, drone_4, 19, 
, drone_1, 20, 
, Total Turns , 36, 

, Id, Score, 
, quadruped_0, 74, 
, gantry_0, 178, 
, Total Turns , 181, 

, Id, Score, 
, quadruped_0, 68, 
, gantry_0, 184, 
, Total Turns , 171, 

, Id, Score, 
, gantry_0, 179, 
, quadruped_0, 73, 
, Total Turns , 150, 

, Id, Score, 
, gantry_1, 95, 
, quadruped_0, 41, 
, gantry_0, 65, 
, quadruped_1, 51, 
, Total Turns , 100, 

, Id, Score, 
, quadruped_0, 55, 
, quadruped_1, 41, 
, gantry_0, 81, 
, gantry_1, 75, 
, Total Turns , 80, 

, Id, Score, 
, quadruped_0, 47, 
, quadruped_1, 35, 
, gantry_1, 85, 
, gantry_0, 85, 
, Total Turns , 80, 

, Id, Score, 
, quadruped_1, 43, 
, gantry_1, 44, 
, quadruped_0, 34, 
, gantry_2, 56, 
, gantry_0, 44, 
, quadruped_2, 31, 
, Total Turns , 40, 

, Id, Score, 
, gantry_2, 64, 
, gantry_0, 54, 
, gantry_1, 59, 
, quadruped_1, 24, 
, quadruped_2, 25, 
, quadruped_0, 26, 
, Total Turns , 40, 

, Id, Score, 
, gantry_1, 69, 
, quadruped_1, 35, 
, gantry_0, 40, 
, quadruped_0, 36, 
, gantry_2, 42, 
, quadruped_2, 30, 
, Total Turns , 40, 

, Id, Score, 
, quadruped_1, 25, 
, quadruped_3, 26, 
, gantry_2, 36, 
, quadruped_0, 20, 
, gantry_0, 47, 
, quadruped_2, 26, 
, gantry_1, 40, 
, gantry_3, 32, 
, Total Turns , 40, 

, Id, Score, 
, quadruped_0, 30, 
, gantry_3, 42, 
, gantry_1, 31, 
, quadruped_1, 28, 
, quadruped_2, 27, 
, gantry_2, 25, 
, quadruped_3, 30, 
, gantry_0, 39, 
, Total Turns , 31, 

, Id, Score, 
, gantry_0, 49, 
, quadruped_2, 27, 
, quadruped_1, 21, 
, gantry_3, 55, 
, gantry_2, 31, 
, quadruped_0, 26, 
, gantry_1, 27, 
, quadruped_3, 16, 
, Total Turns , 30, 

, Id, Score, 
, gantry_4, 38, 
, quadruped_0, 18, 
, quadruped_4, 17, 
, gantry_2, 23, 
, gantry_1, 37, 
, gantry_3, 34, 
, quadruped_2, 24, 
, gantry_0, 17, 
, quadruped_3, 21, 
, quadruped_1, 23, 
, Total Turns , 30, 

, Id, Score, 
, quadruped_4, 17, 
, gantry_2, 33, 
, quadruped_1, 24, 
, gantry_1, 36, 
, quadruped_0, 23, 
, gantry_0, 18, 
, quadruped_3, 22, 
, gantry_3, 30, 
, quadruped_2, 15, 
, gantry_4, 34, 
, Total Turns , 21, 

, Id, Score, 
, quadruped_4, 27, 
, quadruped_3, 22, 
, quadruped_0, 21, 
, gantry_3, 24, 
, gantry_0, 28, 
, quadruped_2, 20, 
, gantry_2, 38, 
, quadruped_1, 20, 
, gantry_1, 22, 
, gantry_4, 30, 
, Total Turns , 30, 

, Id, Score, 
, drone_0, 63, 
, gantry_0, 189, 
, Total Turns , 181, 

, Id, Score, 
, gantry_0, 193, 
, drone_0, 59, 
, Total Turns , 180, 

, Id, Score, 
, gantry_0, 197, 
, drone_0, 55, 
, Total Turns , 210, 

, Id, Score, 
, drone_0, 37, 
, drone_1, 34, 
, gantry_0, 97, 
, gantry_1, 84, 
, Total Turns , 71, 

, Id, Score, 
, gantry_1, 110, 
, gantry_0, 83, 
, drone_0, 33, 
, drone_1, 26, 
, Total Turns , 70, 

, Id, Score, 
, drone_0, 41, 
, drone_1, 36, 
, gantry_1, 83, 
, gantry_0, 92, 
, Total Turns , 91, 

, Id, Score, 
, drone_1, 28, 
, drone_0, 26, 
, gantry_2, 66, 
, gantry_1, 60, 
, gantry_0, 45, 
, drone_2, 27, 
, Total Turns , 50, 

, Id, Score, 
, gantry_2, 69, 
, drone_2, 26, 
, drone_0, 26, 
, drone_1, 29, 
, gantry_0, 49, 
, gantry_1, 53, 
, Total Turns , 41, 

, Id, Score, 
, drone_2, 26, 
, gantry_2, 70, 
, drone_1, 28, 
, gantry_0, 48, 
, drone_0, 29, 
, gantry_1, 51, 
, Total Turns , 50, 

, Id, Score, 
, drone_2, 22, 
, drone_1, 24, 
, gantry_2, 59, 
, gantry_0, 42, 
, drone_3, 14, 
, gantry_3, 34, 
, gantry_1, 39, 
, drone_0, 18, 
, Total Turns , 30, 

, Id, Score, 
, drone_0, 24, 
, drone_1, 18, 
, gantry_0, 49, 
, gantry_1, 49, 
, gantry_2, 37, 
, drone_2, 21, 
, drone_3, 24, 
, gantry_3, 30, 
, Total Turns , 40, 

, Id, Score, 
, drone_3, 25, 
, drone_1, 22, 
, gantry_0, 58, 
, drone_0, 17, 
, drone_2, 24, 
, gantry_2, 36, 
, gantry_3, 43, 
, gantry_1, 27, 
, Total Turns , 40, 

, Id, Score, 
, gantry_0, 43, 
, gantry_1, 45, 
, drone_4, 14, 
, gantry_4, 30, 
, gantry_2, 25, 
, drone_2, 16, 
, drone_0, 15, 
, gantry_3, 33, 
, drone_1, 15, 
, drone_3, 16, 
, Total Turns , 30, 

, Id, Score, 
, drone_3, 19, 
, drone_4, 14, 
, gantry_4, 50, 
, gantry_2, 34, 
, gantry_1, 36, 
, drone_2, 18, 
, gantry_0, 25, 
, drone_1, 15, 
, gantry_3, 25, 
, drone_0, 16, 
, Total Turns , 30, 

, Id, Score, 
, gantry_3, 49, 
, drone_4, 16, 
, drone_0, 16, 
, gantry_0, 30, 
, drone_1, 16, 
, gantry_2, 33, 
, gantry_1, 37, 
, drone_3, 16, 
, gantry_4, 23, 
, drone_2, 16, 
, Total Turns , 30, 

, Id, Score, 
, drone_0, 54, 
, gantry_0, 130, 
, quadruped_0, 68, 
, Total Turns , 100, 

, Id, Score, 
, drone_0, 46, 
, quadruped_0, 93, 
, gantry_0, 113, 
, Total Turns , 94, 

, Id, Score, 
, quadruped_0, 65, 
, drone_0, 45, 
, gantry_0, 142, 
, Total Turns , 141, 

, Id, Score, 
, quadruped_0, 45, 
, drone_0, 31, 
, drone_1, 27, 
, gantry_0, 66, 
, quadruped_1, 41, 
, gantry_1, 42, 
, Total Turns , 41, 

, Id, Score, 
, drone_0, 25, 
, gantry_1, 61, 
, quadruped_1, 43, 
, quadruped_0, 38, 
, drone_1, 30, 
, gantry_0, 55, 
, Total Turns , 40, 

, Id, Score, 
, drone_0, 30, 
, quadruped_1, 46, 
, drone_1, 22, 
, quadruped_0, 39, 
, gantry_1, 70, 
, gantry_0, 45, 
, Total Turns , 40, 

, Id, Score, 
, quadruped_1, 30, 
, gantry_1, 35, 
, drone_2, 20, 
, gantry_2, 36, 
, drone_1, 17, 
, gantry_0, 40, 
, quadruped_0, 29, 
, drone_0, 18, 
, quadruped_2, 27, 
, Total Turns , 30, 

, Id, Score, 
, drone_2, 19, 
, gantry_1, 45, 
, gantry_2, 27, 
, gantry_0, 41, 
, quadruped_0, 29, 
, quadruped_2, 29, 
, drone_0, 17, 
, drone_1, 16, 
, quadruped_1, 29, 
, Total Turns , 30, 

, Id, Score, 
, drone_0, 18, 
, quadruped_1, 30, 
, gantry_0, 40, 
, drone_2, 18, 
, quadruped_0, 28, 
, drone_1, 17, 
, gantry_2, 42, 
, gantry_1, 27, 
, quadruped_2, 32, 
, Total Turns , 38, 

, Id, Score, 
, gantry_0, 30, 
, quadruped_0, 21, 
, gantry_3, 21, 
, quadruped_3, 19, 
, drone_2, 13, 
, drone_3, 16, 
, quadruped_1, 19, 
, drone_1, 15, 
, drone_0, 16, 
, quadruped_2, 18, 
, gantry_1, 34, 
, gantry_2, 30, 
, Total Turns , 20, 

, Id, Score, 
, gantry_1, 33, 
, quadruped_3, 21, 
, quadruped_2, 23, 
, drone_1, 15, 
, gantry_3, 39, 
, drone_2, 16, 
, quadruped_1, 20, 
, drone_3, 15, 
, drone_0, 14, 
, quadruped_0, 18, 
, gantry_0, 21, 
, gantry_2, 17, 
, Total Turns , 20, 

, Id, Score, 
, drone_3, 16, 
, gantry_1, 38, 
, drone_0, 16, 
, drone_2, 16, 
, drone_1, 14, 
, gantry_3, 30, 
, quadruped_1, 22, 
, quadruped_3, 23, 
, gantry_0, 25, 
, quadruped_2, 19, 
, quadruped_0, 17, 
, gantry_2, 16, 
, Total Turns , 20, 

, Id, Score, 
, gantry_2, 25, 
, gantry_4, 27, 
, quadruped_0, 17, 
, gantry_1, 17, 
, gantry_0, 20, 
, quadruped_3, 18, 
, quadruped_1, 18, 
, drone_3, 10, 
, drone_2, 11, 
, gantry_3, 26, 
, drone_0, 11, 
, quadruped_4, 18, 
, quadruped_2, 16, 
, drone_1, 8, 
, drone_4, 10, 
, Total Turns , 18, 

, Id, Score, 
, gantry_3, 32, 
, drone_0, 10, 
, drone_1, 12, 
, gantry_1, 20, 
, drone_2, 7, 
, drone_3, 8, 
, quadruped_1, 18, 
, quadruped_4, 18, 
, gantry_2, 32, 
, gantry_4, 23, 
, gantry_0, 10, 
, quadruped_3, 18, 
, quadruped_2, 18, 
, quadruped_0, 18, 
, drone_4, 8, 
, Total Turns , 18, 

, Id, Score, 
, gantry_0, 32, 
, quadruped_0, 18, 
, quadruped_4, 18, 
, drone_3, 10, 
, gantry_4, 20, 
, gantry_3, 14, 
, quadruped_1, 17, 
, quadruped_2, 18, 
, gantry_2, 29, 
, gantry_1, 23, 
, drone_1, 9, 
, drone_4, 11, 
, drone_0, 7, 
, quadruped_3, 18, 
, drone_2, 8, 
, Total Turns , 19, 

